SED_CODE16,SED_NAME16,AREASQKM16
26303,Northcote (Northern Metropolitan),20.0969000000
26406,Oakleigh (Southern Metropolitan),26.8402000000
26504,Ovens Valley (Northern Victoria),9856.5300000000
26603,Pascoe Vale (Northern Metropolitan),26.7549000000
26708,Polwarth (Western Victoria),12428.1000000000
26806,Prahran (Southern Metropolitan),11.8622000000
26903,Preston (Northern Metropolitan),25.6534000000
27003,Richmond (Northern Metropolitan),14.0793000000
27101,Ringwood (Eastern Metropolitan),28.5942000000
27208,Ripon (Western Victoria),17080.7000000000
27305,Rowville (South-Eastern Metropolitan),60.1809000000
27406,Sandringham (Southern Metropolitan),24.2249000000
27504,Shepparton (Northern Victoria),3220.9200000000
27608,South Barwon (Western Victoria),603.7690000000
27708,South-West Coast (Western Victoria),6501.3300000000
27807,St Albans (Western Metropolitan),34.9923000000
27907,Sunbury (Western Metropolitan),340.1640000000
28007,Sydenham (Western Metropolitan),69.3154000000
28107,Tarneit (Western Metropolitan),124.0840000000
28203,Thomastown (Northern Metropolitan),102.5840000000
28301,Warrandyte (Eastern Metropolitan),89.7932000000
28408,Wendouree (Western Victoria),85.1624000000
28507,Werribee (Western Metropolitan),379.3280000000
28607,Williamstown (Western Metropolitan),39.6715000000
28704,Yan Yean (Northern Victoria),609.8990000000
28803,Yuroke (Northern Metropolitan),178.6700000000
29494,No usual address (Vic.),0.0000000000
29797,Migratory - Offshore - Shipping (Vic.),0.0000000000
30001,Albert,241.3070000000
30002,Algester,98.2152000000
30003,Ashgrove,70.0015000000
30004,Aspley,32.8492000000
30005,Barron River,595.2330000000
30006,Beaudesert,4360.7500000000
30007,Brisbane Central,16.4301000000
30008,Broadwater,51.8397000000
30009,Buderim,84.8911000000
30010,Bulimba,28.9380000000
30011,Bundaberg,65.1603000000
30012,Bundamba,106.2850000000
30013,Burdekin,28295.2000000000
30014,Burleigh,33.0608000000
30015,Burnett,7135.8100000000
30016,Cairns,50.5272000000
30017,Callide,65165.4000000000
30018,Caloundra,263.9790000000
30019,Capalaba,43.8748000000
30020,Chatsworth,60.1494000000
30021,Clayfield,71.1899000000
30022,Cleveland,314.5760000000
30023,Condamine,6668.0100000000
30024,Cook,182691.0000000000
30025,Coomera,308.3660000000
30026,Currumbin,137.4450000000
30027,Dalrymple,110523.0000000000
30028,Everton,37.3298000000
30029,Ferny Grove,223.6840000000
30030,Gaven,134.1630000000
30031,Gladstone,6711.4900000000
30032,Glass House,1591.1800000000
30033,Greenslopes,18.1084000000
30034,Gregory,316146.0000000000
30035,Gympie,3459.3700000000
30036,Hervey Bay,1776.8200000000
30037,Hinchinbrook,9041.1200000000
30038,Inala,57.8388000000
30039,Indooroopilly,23.2974000000
30040,Ipswich,61.1845000000
30041,Ipswich West,637.0730000000
30042,Kallangur,93.5195000000
30043,Kawana,59.5498000000
30044,Keppel,5144.3200000000
30045,Lockyer,3118.5900000000
30046,Logan,211.6230000000
30047,Lytton,63.2701000000
30048,Mackay,62.5029000000
30049,Mansfield,76.5874000000
30050,Maroochydore,42.6607000000
30051,Maryborough,5727.2000000000
